Time,Category,Average Score
2025-06-20 14:16:28,_neutral,0.0
2025-06-20 14:16:28,browDownLeft,0.26
2025-06-20 14:16:28,browDownRight,0.24
2025-06-20 14:16:28,browInnerUp,0.01
2025-06-20 14:16:28,browOuterUpLeft,0.03
2025-06-20 14:16:28,browOuterUpRight,0.03
2025-06-20 14:16:28,cheekPuff,0.0
2025-06-20 14:16:28,cheekSquintLeft,0.0
2025-06-20 14:16:28,cheekSquintRight,0.0
2025-06-20 14:16:28,eyeBlinkLeft,0.19
2025-06-20 14:16:28,eyeBlinkRight,0.08
2025-06-20 14:16:28,eyeLookDownLeft,0.66
2025-06-20 14:16:28,eyeLookDownRight,0.69
2025-06-20 14:16:28,eyeLookInLeft,0.04
2025-06-20 14:16:28,eyeLookInRight,0.11
2025-06-20 14:16:28,eyeLookOutLeft,0.24
2025-06-20 14:16:28,eyeLookOutRight,0.11
2025-06-20 14:16:28,eyeLookUpLeft,0.01
2025-06-20 14:16:28,eyeLookUpRight,0.01
2025-06-20 14:16:28,eyeSquintLeft,0.38
2025-06-20 14:16:28,eyeSquintRight,0.24
2025-06-20 14:16:28,eyeWideLeft,0.02
2025-06-20 14:16:28,eyeWideRight,0.09
2025-06-20 14:16:28,jawForward,0.0
2025-06-20 14:16:28,jawLeft,0.0
2025-06-20 14:16:28,jawOpen,0.13
2025-06-20 14:16:28,jawRight,0.01
2025-06-20 14:16:28,mouthClose,0.01
2025-06-20 14:16:28,mouthDimpleLeft,0.01
2025-06-20 14:16:28,mouthDimpleRight,0.0
2025-06-20 14:16:28,mouthFrownLeft,0.0
2025-06-20 14:16:28,mouthFrownRight,0.0
2025-06-20 14:16:28,mouthFunnel,0.02
2025-06-20 14:16:28,mouthLeft,0.01
2025-06-20 14:16:28,mouthLowerDownLeft,0.01
2025-06-20 14:16:28,mouthLowerDownRight,0.02
2025-06-20 14:16:28,mouthPressLeft,0.02
2025-06-20 14:16:28,mouthPressRight,0.0
2025-06-20 14:16:28,mouthPucker,0.17
2025-06-20 14:16:28,mouthRight,0.01
2025-06-20 14:16:28,mouthRollLower,0.02
2025-06-20 14:16:28,mouthRollUpper,0.02
2025-06-20 14:16:28,mouthShrugLower,0.04
2025-06-20 14:16:28,mouthShrugUpper,0.03
2025-06-20 14:16:28,mouthSmileLeft,0.0
2025-06-20 14:16:28,mouthSmileRight,0.0
2025-06-20 14:16:28,mouthStretchLeft,0.0
2025-06-20 14:16:28,mouthStretchRight,0.0
2025-06-20 14:16:28,mouthUpperUpLeft,0.01
2025-06-20 14:16:28,mouthUpperUpRight,0.0
2025-06-20 14:16:28,noseSneerLeft,0.0
2025-06-20 14:16:28,noseSneerRight,0.0
2025-06-20 14:16:29,_neutral,0.0
2025-06-20 14:16:29,browDownLeft,0.04
2025-06-20 14:16:29,browDownRight,0.03
2025-06-20 14:16:29,browInnerUp,0.52
2025-06-20 14:16:29,browOuterUpLeft,0.52
2025-06-20 14:16:29,browOuterUpRight,0.34
2025-06-20 14:16:29,cheekPuff,0.0
2025-06-20 14:16:29,cheekSquintLeft,0.0
2025-06-20 14:16:29,cheekSquintRight,0.0
2025-06-20 14:16:29,eyeBlinkLeft,0.37
2025-06-20 14:16:29,eyeBlinkRight,0.35
2025-06-20 14:16:29,eyeLookDownLeft,0.34
2025-06-20 14:16:29,eyeLookDownRight,0.38
2025-06-20 14:16:29,eyeLookInLeft,0.1
2025-06-20 14:16:29,eyeLookInRight,0.07
2025-06-20 14:16:29,eyeLookOutLeft,0.08
2025-06-20 14:16:29,eyeLookOutRight,0.11
2025-06-20 14:16:29,eyeLookUpLeft,0.04
2025-06-20 14:16:29,eyeLookUpRight,0.02
2025-06-20 14:16:29,eyeSquintLeft,0.55
2025-06-20 14:16:29,eyeSquintRight,0.38
2025-06-20 14:16:29,eyeWideLeft,0.0
2025-06-20 14:16:29,eyeWideRight,0.0
2025-06-20 14:16:29,jawForward,0.0
2025-06-20 14:16:29,jawLeft,0.02
2025-06-20 14:16:29,jawOpen,0.22
2025-06-20 14:16:29,jawRight,0.0
