Time,Initial Alcohol Value,Processed Alcohol Value,State,Warning time period(s)
2025-06-09 14:31:29,0.08158280410356622,82,Safe,0
2025-06-09 14:31:30,0.08451392281387404,85,Safe,0
2025-06-09 14:31:31,0.08549096238397658,85,Safe,0
2025-06-09 14:31:32,0.08549096238397658,85,Safe,0
2025-06-09 14:31:33,0.08158280410356622,82,Safe,0
2025-06-09 14:31:34,0.07572056668295057,76,Safe,0
2025-06-09 14:31:35,0.07083536883243768,71,Safe,0
2025-06-09 14:31:36,0.06692721055202733,67,Safe,0
2025-06-09 14:31:37,0.06008793356130915,60,Safe,0
2025-06-09 14:31:38,0.047386419149975545,47,Safe,0
